image,label
0642_00409673340_0.png,19
0642_00897310009_0.png,15
0642_01608310007_0.png,16
0642_01997310006_0.png,3
0642_02001960166_0.png,11
0642_02608310005_0.png,9
0642_02708310004_0.png,6
0642_03508310004_0.png,7
0642_03903021420_0.png,10421
0642_15014143919_0.png,5861
0642_15208310001_0.png,871
0642_15300714548_0.png,120
0642_15737888402_0.png,487
0642_16319916454_0.png,14
0642_17408310005_0.png,26
0642_17408310005_233_0.png,4
0642_18208310005_0.png,336
0642_18697310003_0.png,3822
0642_18698440072_0.png,115
0642_19226508661_0.png,10
0642_19307756163_0.png,11
0642_20790083834_0.png,30
0642_20971218530_0.png,124
0642_21987928039_0.png,212
0642_22189042033_0.png,19
0642_23169401371_0.png,10
0642_23308310004_0.png,418
0642_23353453006_0.png,142
0642_23463510232_0.png,1520
0642_23608310001_0.png,95
0642_23697310003_0.png,112
0642_24360409122_0.png,6
0642_24518096029_0.png,10
0642_24697310001_0.png,13
0642_25321459866_0.png,22
0642_25408310008_0.png,9
0642_26139152214_0.png,9
0642_26208310008_0.png,199
0642_27408310004_0.png,9
0642_27931766383_0.png,726
0642_28284364073_0.png,7
0642_29897310008_0.png,334
0642_30121292111_0.png,12
0642_30685010826_0.png,7
0642_31608310004_0.png,28
0642_31694111381_0.png,12
0642_31708310003_0.png,8
0642_33308310003_0.png,12
0642_33461191703_0.png,22
0642_33805067379_0.png,8
0642_33870910057_0.png,12
0642_34408310000_0.png,84
0642_34994248663_0.png,26
0642_35208310009_0.png,6
0642_35308310008_0.png,57
0642_35408310007_0.png,14
0642_35697310007_0.png,83
0642_36208310007_0.png,8
0642_36245447168_0.png,708
0642_36745432496_0.png,2
0642_37945752253_0.png,11
0642_38556663052_0.png,186
0642_38697310001_0.png,7
0642_38711540146_0.png,8
0642_39208310001_0.png,11
0642_39897310007_0.png,16
0642_39977745585_0.png,12
0642_40516949506_0.png,97
0642_40530341987_0.png,48
0642_41052839135_0.png,9
0642_41608310003_0.png,41
0642_42508310002_0.png,7
0642_42608310001_0.png,19
0642_42668515333_0.png,9
0642_43093200988_0.png,161
0642_43308310002_0.png,20
0642_43397310004_0.png,6
0642_44283661997_0.png,3
0642_44497310001_0.png,19
0642_44652561521_0.png,100
0642_45171445948_0.png,8
0642_45208310008_0.png,11
0642_45969079040_0.png,5
0642_46451002565_0.png,20
0642_48697310000_0.png,10
0642_49208310000_0.png,57
0642_49751232452_0.png,14
0642_49931516071_0.png,2099
0642_50608310004_0.png,389
0642_50665080599_0.png,3
0642_51109318124_0.png,2658
0642_51239391801_0.png,6587
0642_51708310001_0.png,3
0642_52308310003_0.png,19
0642_52497310004_0.png,1437
0642_52508310001_0.png,8
0642_52751442691_0.png,17
0642_54019039871_0.png,14
0642_54436553900_0.png,11
0642_54497310000_0.png,9
0642_54697310008_0.png,109
0642_55457012627_0.png,3593
0642_56208310005_0.png,192
0642_56607390228_0.png,27
0642_57672335478_0.png,11
0642_58972747818_0.png,15
0642_59508310006_0.png,916
0642_59897310005_0.png,200
0642_60208310007_0.png,24
0642_62508310000_0.png,156
0642_62850327271_0.png,363
