epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.339,1.69984,3.0989,1.46923,0.56068,0.11864,0.47658,0.22759,0.79892,29.3712,0.65771,0.000648148,0.000648148,0.000648148
2,128.968,1.59201,2.05832,1.38547,0.23935,0.22034,0.18184,0.08604,0.84233,27.5085,0.75341,0.00122804,0.00122804,0.00122804
3,190.777,1.60808,1.92119,1.37707,0.47408,0.86441,0.58554,0.30725,0.81721,29.514,0.76415,0.00171993,0.00171993,0.00171993
4,252.092,1.59163,1.76692,1.38326,0.50658,0.8179,0.60627,0.35049,0.83547,23.9106,0.74853,0.001604,0.001604,0.001604
5,312.898,1.59593,1.62548,1.3567,0.54319,0.78604,0.63341,0.35064,0.84589,25.5904,0.79431,0.001472,0.001472,0.001472
6,373.239,1.48861,1.78768,1.39693,0.53545,0.88136,0.66808,0.417,0.80814,27.9105,0.77944,0.00134,0.00134,0.00134
7,434.083,1.46016,1.63751,1.3933,0.47922,0.91525,0.51586,0.2924,0.77878,36.3832,0.76493,0.001208,0.001208,0.001208
8,494.344,1.44605,1.49056,1.34899,0.48855,0.9661,0.51283,0.32023,0.75191,27.1377,0.72965,0.001076,0.001076,0.001076
9,554.883,1.42654,1.35636,1.33031,0.50314,0.9097,0.5323,0.32706,0.73253,30.0341,0.72793,0.000944,0.000944,0.000944
10,615.012,1.43688,1.25542,1.31428,0.51281,0.89831,0.6089,0.35249,0.77201,25.411,0.7351,0.000812,0.000812,0.000812
11,676.424,1.39523,1.24757,1.33219,0.49404,0.94339,0.67815,0.43062,0.7615,24.8688,0.74162,0.00068,0.00068,0.00068
12,737.002,1.33784,1.1258,1.2705,0.41886,0.96508,0.55838,0.34483,0.72732,30.4876,0.71382,0.000548,0.000548,0.000548
13,797.929,1.33022,1.10669,1.26514,0.41255,0.96415,0.52752,0.31193,0.73706,25.3863,0.71764,0.000416,0.000416,0.000416
14,859.621,1.3136,1.1036,1.2532,0.4362,0.86441,0.5201,0.35523,0.73497,24.6613,0.7174,0.000284,0.000284,0.000284
15,920.659,1.29751,1.04211,1.27529,0.44175,0.88136,0.57092,0.3922,0.70981,26.9926,0.70467,0.000152,0.000152,0.000152
