epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3593,1.98304,4.01432,1.63682,0.00278,0.83333,0.00924,0.00432,1.30598,3.92375,1.24636,0.00032,0.00032,0.00032
2,149.829,1.54951,2.6798,1.33617,0.00333,1,0.01008,0.00672,1.19163,3.39951,1.00423,0.00064812,0.00064812,0.00064812
3,224.488,1.54526,2.28412,1.33222,0.00333,1,0.32165,0.23064,1.36695,2.99539,1.05999,0.000964,0.000964,0.000964
4,305.777,1.4607,1.88452,1.28089,0.21101,0.33333,0.19435,0.11016,1.34391,2.79696,1.09444,0.00126764,0.00126764,0.00126764
5,373.106,1.54179,1.86223,1.29151,1,0.97921,0.995,0.54312,1.32503,1.74525,1.01273,0.00155904,0.00155904,0.00155904
6,436.335,1.52576,1.81222,1.26139,0.85879,0.83333,0.97214,0.55407,1.36479,2.11497,1.1129,0.00182,0.00182,0.00182
7,506.224,1.46422,1.70584,1.27808,0.9885,1,0.995,0.65114,1.17028,1.43679,1.03025,0.001784,0.001784,0.001784
8,577.145,1.45066,1.64684,1.26951,0.99591,1,0.995,0.6626,1.23856,1.32236,1.01452,0.001748,0.001748,0.001748
9,648.997,1.43082,1.5223,1.21755,0.99433,1,0.995,0.69846,1.16055,1.08108,0.9813,0.001712,0.001712,0.001712
10,716.07,1.3985,1.46025,1.18088,0.99277,1,0.995,0.65155,1.25728,1.13819,0.99342,0.001676,0.001676,0.001676
11,787.313,1.40716,1.44205,1.18592,0.98936,1,0.995,0.71472,1.11863,1.06235,0.97311,0.00164,0.00164,0.00164
12,856.549,1.39706,1.36553,1.20245,0.9941,1,0.995,0.6444,1.12086,1.13759,0.97669,0.001604,0.001604,0.001604
13,941.325,1.40103,1.31006,1.18492,0.99202,1,0.995,0.63567,1.21738,1.07329,0.99871,0.001568,0.001568,0.001568
